Área;Año;Sustancia;Casos;Tasa_ajustada
Usaquén;2016;Psicoactivas;131;24,97
Chapinero;2016;Psicoactivas;44;28,72
Santa Fe;2016;Psicoactivas;23;22,44
San Cristóbal;2016;Psicoactivas;52;13,61
Usme;2016;Psicoactivas;46;12,92
Tunjuelito;2016;Psicoactivas;27;15,86
Bosa;2016;Psicoactivas;82;12,1
Kennedy;2016;Psicoactivas;161;16,02
Fontibón;2016;Psicoactivas;85;23,69
Engativá;2016;Psicoactivas;191;24,36
Suba;2016;Psicoactivas;218;19,31
Barrios Unidos;2016;Psicoactivas;46;33,89
Teusaquillo;2016;Psicoactivas;93;65,2
Los Mártires;2016;Psicoactivas;26;35,4
Antonio Nariño;2016;Psicoactivas;22;27,5
